state,city,link,address,postal,phone
Alabama,"Birmingham, The Summit",https://www.apple.com/retail/thesummit/,217 Summit BoulevardBirminghamAL,35243,(205) 909-2570
Alaska,"Anchorage, Anchorage 5th Avenue Mall",https://www.apple.com/retail/anchorage5thavenuemall/,320 West 5th AvenueAnchorageAK,99501,(907) 257-1900
Arizona,"Chandler, Chandler Fashion Center",https://www.apple.com/retail/chandlerfashioncenter/,3111 W Chandler BoulevardChandlerAZ,85226,(480) 636-3900
Arkansas,"Little Rock, The Promenade at Chenal",https://www.apple.com/retail/thepromenadeatchenal/,17711 Chenal ParkwayLittle RockAR,72223,(501) 821-5130
California,"Bakersfield, Valley Plaza",https://www.apple.com/retail/valleyplaza/,2701 Ming AvenueBakersfieldCA,93304,(661) 396-3480
Colorado,"Boulder, Twenty Ninth Street",https://www.apple.com/retail/twentyninthstreet/,1755 29th StreetBoulderCO,80301,(720) 479-9451
Connecticut,"Danbury, Danbury Fair Mall",https://www.apple.com/retail/danburyfairmall/,Seven Backus AvenueDanburyCT,06810,(203) 546-6340
Delaware,"Newark, Christiana Mall",https://www.apple.com/retail/christianamall/,125 Christiana MallNewarkDE,19702,(302) 533-3514
District of Columbia,"Washington, Carnegie Library",https://www.apple.com/retail/carnegielibrary/,,,
Florida,"Altamonte Springs, Altamonte",https://www.apple.com/retail/altamonte/,451 E Altamonte DriveAltamonte SpringsFL,32701,(407) 551-0404
Georgia,"Alpharetta, Avalon",https://www.apple.com/retail/avalon/,8130 Avalon BoulevardAlpharettaGA,30009,(770) 510-1670
Hawaii,"Honolulu, Ala Moana",https://www.apple.com/retail/alamoana/,1450 Ala Moana BoulevardHonoluluHI,96814,(808) 983-7650
Idaho,"Boise, Boise Towne Square",https://www.apple.com/retail/boisetownesquare/,350 North Milwaukee StreetBoiseID,83704,(208) 377-6500
Illinois,"Chicago, Lincoln Park",https://www.apple.com/retail/lincolnpark/,801 W. North AvenueChicagoIL,60642,(312) 777-4200
Indiana,"Indianapolis, The Fashion Mall at Keystone",https://www.apple.com/retail/thefashionmallatkeystone/,8702 Keystone CrossingIndianapolisIN,46240,(317) 814-3740
Iowa,"West Des Moines, Jordan Creek",https://www.apple.com/retail/jordancreek/,101 Jordan Creek ParkwayWest Des MoinesIA,50266,(515) 440-9900
Kansas,"Leawood, Leawood",https://www.apple.com/retail/leawood/,4529 West 119th StreetLeawoodKS,66209,(913) 234-9800
Kentucky,"Lexington, Fayette Mall",https://www.apple.com/retail/fayettemall/,3401 Nicholasville RoadLexingtonKY,40503,(859) 971-5400
Louisiana,"Baton Rouge, Mall of Louisiana",https://www.apple.com/retail/malloflouisiana/,6401 Bluebonnet BoulevardBaton RougeLA,70836,(225) 765-3500
Maine,"South Portland, Maine Mall",https://www.apple.com/retail/mainemall/,364 Maine Mall RoadSouth PortlandME,04106,(207) 771-9400
Maryland,"Annapolis, Annapolis",https://www.apple.com/retail/annapolis/,1735 Annapolis MallAnnapolisMD,21401,(410) 972-3290
Massachusetts,"Boston, Boylston Street",https://www.apple.com/retail/boylstonstreet/,815 Boylston StreetBostonMA,02116,(617) 385-9400
Michigan,"Ann Arbor, Briarwood",https://www.apple.com/retail/briarwood/,100 Briarwood CircleAnn ArborMI,48108,(734) 780-2471
Minnesota,"Bloomington, Mall of America",https://www.apple.com/retail/mallofamerica/,132 South AvenueBloomingtonMN,55425,(952) 229-5630
Mississippi,"Ridgeland, Renaissance at Colony Park",https://www.apple.com/retail/renaissanceatcolonypark/,1000 Highland Colony ParkwayRidgelandMS,39157,(601) 607-4521
Missouri,"Kansas City, Country Club Plaza",https://www.apple.com/retail/countryclubplaza/,227 Nichols RoadKansas CityMO,64112,(816) 448-9200
Nebraska,"Omaha, Village Pointe",https://www.apple.com/retail/villagepointe/,17170 Davenport StreetOmahaNE,68118,(402) 970-4477
Nevada,"Las Vegas, Fashion Show",https://www.apple.com/retail/fashionshow/,3200 Las Vegas Boulevard SouthLas VegasNV,89109,(702) 577-9740
New Hampshire,"Manchester, The Mall of New Hampshire",https://www.apple.com/retail/themallofnewhampshire/,1500 S Willow StreetManchesterNH,03103,(603) 391-0180
New Jersey,"Bridgewater, Bridgewater",https://www.apple.com/retail/bridgewater/,400 Commons WayBridgewaterNJ,08807,(908) 547-3800
New Mexico,"Albuquerque, ABQ Uptown",https://www.apple.com/retail/abquptown/,2240 Q Street NEAlbuquerqueNM,87110,(505) 837-6480
New York,"Albany, Crossgates",https://www.apple.com/retail/crossgates/,1 Crossgates Mall RoadAlbanyNY,12203,(518) 389-0140
North Carolina,"Charlotte, Northlake Mall",https://www.apple.com/retail/northlakemall/,6801 Northlake Mall DriveCharlotteNC,28216,(704) 972-0980
Ohio,"Akron, Summit Mall",https://www.apple.com/retail/summitmall/,3265 West Market StreetAkronOH,44333,(330) 865-6280
Oklahoma,"Oklahoma City, Penn Square",https://www.apple.com/retail/pennsquare/,1901 NW Expressway StreetOklahoma CityOK,73118,(405) 767-6600
Oregon,"Portland, Pioneer Place",https://www.apple.com/retail/pioneerplace/,450 SW Yamhill StreetPortlandOR,97204,(503) 265-2010
Pennsylvania,"Ardmore, Suburban Square",https://www.apple.com/retail/suburbansquare/,61 St. James PlaceArdmorePA,19003,(610) 726-9400
Rhode Island,"Providence, Providence Place",https://www.apple.com/retail/providenceplace/,20 Providence PlaceProvidenceRI,02903,(401) 533-9400
South Carolina,"Charleston, King Street",https://www.apple.com/retail/kingstreet/,301 King StreetCharlestonSC,29401,(843) 727-0400
Tennessee,"Franklin, CoolSprings Galleria",https://www.apple.com/retail/coolspringsgalleria/,1800 Galleria BoulevardFranklinTN,37067,(615) 435-0620
Texas,"Austin, Barton Creek",https://www.apple.com/retail/bartoncreek/,2901 S. Capital of Texas HwyAustinTX,78746,(512) 634-0520
Utah,"Farmington, Station Park",https://www.apple.com/retail/stationpark/,148 N. East PromontoryFarmingtonUT,84025,(801) 218-9501
Virginia,"Arlington, Clarendon",https://www.apple.com/retail/clarendon/,2700 Clarendon BoulevardArlingtonVA,22201,(703) 236-7970
Washington,"Bellevue, Bellevue Square",https://www.apple.com/retail/bellevuesquare/,213 Bellevue SquareBellevueWA,98004,(425) 519-0080
Wisconsin,"Glendale, Bayshore",https://www.apple.com/retail/bayshore/,5715 N Centerpark WayGlendaleWI,53217,(414) 977-3410
Australian Capital Territory,Canberra,https://www.apple.com/au/retail/canberra/,Canberra CentreCanberraACT,2601,(02) 6224 9500
New South Wales,Bondi,https://www.apple.com/au/retail/bondi/,213 Oxford StreetBondi JunctionNSW,2022,(02) 9019 2400
Queensland,Brisbane,https://www.apple.com/au/retail/brisbane/,MacArthur ChambersBrisbane CityQLD,4000,(07) 3182 9000
South Australia,Rundle Place,https://www.apple.com/au/retail/rundleplace/,Rundle Place CentreAdelaideSA,5000,(08) 7088 5300
Victoria,Chadstone,https://www.apple.com/au/retail/chadstone/,Chadstone Shopping CentreChadstoneVIC,3148,(03) 9038 7500
Western Australia,Garden City Perth,https://www.apple.com/au/retail/gardencityperth/,Garden CityBooragoonWA,6154,(08) 6557 6000
Alberta,"Calgary, Chinook Centre",https://www.apple.com/ca/retail/chinookcentre/,6455 Macleod Trail SWCalgaryAB,T2H 0K8,(403) 444-3759
British Columbia,"Burnaby, Metrotown",https://www.apple.com/ca/retail/metrotown/,320 4700 KingswayBurnabyBC,V5H 4J2,(778) 373-4810
Manitoba,"Winnipeg, Polo Park",https://www.apple.com/ca/retail/polopark/,1485 Portage AvenueWinnipegMB,R3G 0W4,(204) 777-4500
Nova Scotia,"Halifax, Halifax Shopping Centre",https://www.apple.com/ca/retail/halifaxshoppingcentre/,7001 Mumford RoadHalifaxNS,B3L 4N9,(902) 442-3495
Ontario,"Burlington, Mapleview Centre",https://www.apple.com/ca/retail/mapleviewcentre/,900 Maple AvenueBurlingtonON,L7S 2J8,(289) 288-2012
Quebec,"Brossard, DIX30",https://www.apple.com/ca/retail/dix30/,9120 boul. LeducBrossardQC,J4Y 0L3,(450) 618-1400
Beijing,Chaoyang Joy City,https://www.apple.com/cn/retail/chaoyangjoycity/,北京市朝阳区朝阳北路 101 号,,4006171284
Chongqing,Jiefangbei,https://www.apple.com/cn/retail/jiefangbei/,重庆市渝中区邹容路 108 号,,4006171224
Fujian,Thaihot Plaza,https://www.apple.com/cn/retail/thaihotplaza/,福州市晋安区竹屿路 6 号,,4006171354
Guangdong,Parc Central,https://www.apple.com/cn/retail/parccentral/,广州市天河区天河路 218 号,,4006139742
Guangxi,MixC Nanning,https://www.apple.com/cn/retail/mixcnanning/,南宁市青秀区民族大道 136 号,,4006171265
Henan,MixC Zhengzhou,https://www.apple.com/cn/retail/mixczhengzhou/,郑州市二七区民主路 10 号,,4006171264
Jiangsu,Nanjing IST,https://www.apple.com/cn/retail/nanjingist/,南京市玄武区中山路 100 号,,4006171334
Liaoning,Olympia 66 Dalian,https://www.apple.com/cn/retail/olympia66dalian/,大连市西岗区五四路 66 号,,4006139741
Shandong,Parc 66 Jinan,https://www.apple.com/cn/retail/parc66jinan/,济南市历下区泉城路 188 号,,4006139743
Shanghai,Global Harbor,https://www.apple.com/cn/retail/globalharbor/,上海市普陀区中山北路 3300 号,,4006171335
Sichuan,MixC Chengdu,https://www.apple.com/cn/retail/mixcchengdu/,成都市成华区双庆路 8 号万象城,,4006171214
Tianjin,MixC Tianjin,https://www.apple.com/cn/retail/mixctianjin/,天津市河西区乐园道 9 号,,4006139745
Yunnan,Kunming,https://www.apple.com/cn/retail/kunming/,昆明市五华区东风西路 11 号,,4006393602
Zhejiang,MixC Hangzhou,https://www.apple.com/cn/retail/mixchangzhou/,杭州市江干区富春路 701 号,,4006171304
